symbol,title,summary,published_at,sentiment_score,sentiment_label,url,source
AAPL,Apple Reports Strong Q4 Earnings,Apple Inc. exceeded market expectations with robust quarterly performance, showing significant growth in services revenue.,2024-01-15T10:30:00Z,0.85,positive,https://finance.yahoo.com/news/apple-earnings-q4,Yahoo Finance
MSFT,Microsoft Announces AI Partnership,Microsoft Corporation unveils new AI collaboration that could reshape cloud computing landscape.,2024-01-15T09:15:00Z,0.72,positive,https://finance.yahoo.com/news/microsoft-ai-partnership,Yahoo Finance
TSLA,Tesla Stock Declines on Production Concerns,Investors express concerns over Tesla's production capabilities amid supply chain challenges.,2024-01-15T08:45:00Z,-0.65,negative,https://finance.yahoo.com/news/tesla-production-concerns,Yahoo Finance
GOOGL,Alphabet Faces Regulatory Scrutiny,Google's parent company faces increased regulatory pressure from antitrust investigations.,2024-01-15T07:20:00Z,-0.45,negative,https://finance.yahoo.com/news/alphabet-regulatory-scrutiny,Yahoo Finance
AMZN,Amazon Expands Same-Day Delivery,Amazon.com Inc. announces expansion of same-day delivery service to 50 new cities.,2024-01-15T11:00:00Z,0.68,positive,https://finance.yahoo.com/news/amazon-delivery-expansion,Yahoo Finance
NVDA,NVIDIA GPU Demand Surges,NVIDIA Corporation reports unprecedented demand for its graphics processing units across multiple sectors.,2024-01-15T14:30:00Z,0.89,positive,https://finance.yahoo.com/news/nvidia-gpu-demand,Yahoo Finance
AAPL,Apple iPhone Sales Break Records,New iPhone model achieves record-breaking sales in the first quarter of release.,2024-01-14T16:20:00Z,0.92,positive,https://finance.yahoo.com/news/apple-iphone-sales,Yahoo Finance
MSFT,Microsoft Azure Growth Accelerates,Microsoft's cloud platform shows accelerated growth with increased enterprise adoption.,2024-01-14T13:45:00Z,0.78,positive,https://finance.yahoo.com/news/microsoft-azure-growth,Yahoo Finance
TSLA,Tesla Cybertruck Production Ramps Up,Tesla begins mass production of Cybertruck with initial deliveries expected next month.,2024-01-14T12:10:00Z,0.55,positive,https://finance.yahoo.com/news/tesla-cybertruck-production,Yahoo Finance
JPM,JPMorgan Chase Beats Earnings Expectations,Banking giant reports better-than-expected quarterly earnings with strong loan growth.,2024-01-14T09:30:00Z,0.71,positive,https://finance.yahoo.com/news/jpmorgan-earnings,Yahoo Finance
